date,period,nav_per_share,nyse_price,discount_pct
2026-04-29,IPO,50.00,50.00,0.00
2026-05-05,Weekly,48.77,42.98,-11.91
2026-05-12,Weekly,48.71,40.75,-16.37
2026-05-19,Weekly,48.32,41.00,-15.15
2026-05-26,Weekly,48.26,40.40,-16.27
2026-05-31,Monthly,48.93,40.13,-17.98
2026-06-05,Daily,,38.17,-21.99
2026-06-08,Daily,,37.84,-22.67
2026-06-09,Daily,,37.95,-22.44
2026-06-09,Weekly,47.02,37.99,-19.20
2026-06-10,Daily,,37.99,-22.36
2026-06-11,Daily,,37.47,-20.31
2026-06-12,Daily,,37.85,-19.5
2026-06-15,Daily,,39.45,-16.1
2026-06-16,Daily,,40.08,-14.76
2026-06-17,Daily,,39.55,-15.89
2026-06-18,Daily,,39.26,-16.5
2026-06-19,Daily,,39.86,-15.23
2026-06-22,Daily,,38.6,-17.91
2026-06-23,Daily,,38.06,-19.06
2026-06-24,Daily,,37.67,-19.89
2026-06-16,Weekly,47.56,40.07,-15.75
2026-06-25,Daily,,36.95,-22.31
2026-06-26,Daily,,37.04,-22.12
2026-06-29,Daily,,37.25,-21.68
2026-06-30,Daily,,37.12,-21.95
2026-07-01,Daily,,38.5,-19.05
2026-06-23,Weekly,45.49,37.9,-16.68
2026-07-02,Daily,,37.95,-16.58
2026-07-03,Daily,,38.0,-16.47
2026-07-06,Daily,,38.3,-15.81
2026-07-07,Daily,,37.91,-16.66
2026-07-08,Daily,,37.13,-18.38
2026-06-30,Monthly,45.93,37.38,-18.62
2026-07-09,Daily,,37.83,-17.64
2026-07-10,Daily,,38.11,-17.03
2026-07-13,Daily,,37.5,-18.35
2026-07-14,Daily,,37.11,-19.2
2026-07-15,Daily,,38.07,-17.11
2026-07-07,Weekly,47.68,37.84,-20.64
2026-07-16,Daily,,38.27,-19.74
2026-07-17,Daily,,36.96,-22.48
2026-07-20,Daily,,36.72,-22.99
2026-07-21,Daily,,36.83,-22.76
2026-07-22,Daily,,36.85,-22.71
2026-07-14,Weekly,47.81,37.29,-22.0
2026-07-23,Daily,,36.31,-24.05
2026-07-24,Daily,,36.35,-23.97
2026-07-27,Daily,,36.91,-22.8
2026-07-28,Daily,,36.31,-24.05
2026-07-29,Daily,,36.0,-24.7
2026-07-21,Weekly,47.41,36.87,-22.23
2026-07-30,Daily,,36.49,-23.03
2026-07-31,Daily,,37.24,-21.45
2026-08-03,Daily,,38.1,-19.64
2026-08-04,Daily,,37.9,-20.06
2026-08-05,Daily,,37.92,-20.02
2026-07-28,Weekly,47.02,36.35,-22.69
2026-07-31,Monthly,48.26,37.5,-22.3
2026-08-07,Daily,,38.46,-20.31
2026-08-10,Daily,,39.35,-18.46
2026-08-11,Daily,,38.84,-19.52
2026-08-12,Daily,,38.89,-19.42
2026-08-13,Daily,,39.48,-18.19
2026-08-14,Daily,,40.5,-16.08
2026-08-17,Daily,,39.77,-17.59
2026-08-18,Daily,,39.38,-18.4
2026-08-19,Daily,,39.47,-18.21
2026-08-11,Weekly,50.32,39.13,-22.24
